Terrain_Type,Timestamp,Weather_Condition,Irradiance_W_m2,Panel_Bus_Voltage,Shunt_Current,Temperature_Ambient,Temperature_Panel,Humidity_Relative,Atm_Pressure,Altitude_Approx,Panel_Tilt_Angle_Z,Dust_Density_g_m2,RGB_Red,RGB_Green,RGB_Blue,Motion_Detected,Current_Predicted,Voltage_Predicted,Power_Predicted,Efficiency_Predicted,Efficiency_Drop_Percent,Ideal_Max_Power,Heat_Dissipation_C,Root_Cause_Class,Recommended_Action
Desert,2025-01-01 00:00:00,,779.1300517673693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.710067374372647,0.5016814601389455,0.3498938907897127,0.35112434530002906,Stable,3.0744443978204554,11.798691510377813,36.27442101569284,3.101186087620205,84.5469143960756,233.7390155302108,0.0,Soiling_Severe,🚨 URGENT: High-pressure water cleaning required immediately.
Himalayan,2025-01-01 01:00:00,,961.5343219162183,0.0,0.0,14.754320135460794,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,8.922666295932498,27.694963845313946,247.11292046965184,17.121365383587612,14.629770164096056,288.4602965748655,-14.754320135460794,Normal_Operation,No action required. System healthy.
Coastal,2025-01-01 02:00:00,,966.4260668369135,0.0,0.0,0.0,0.0,84.65692121049047,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Wind_High,8.991376683658128,28.782619889096424,258.7953773654163,17.840093881369803,11.044816092189702,289.92782005107404,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-01 03:00:00,,1049.2935599283046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.01682068458223,0.4239331928766424,0.3045869937993641,0.28606340401282637,Stable,1.6748018675415357,4.810783081242064,8.057108488801433,0.5115818221629654,97.44857095444462,314.78806797849137,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-01 04:00:00,,580.6051426557852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,5.790030611603791,27.739041415950915,160.60989893490117,18.4205158824765,8.3180246213164,174.18154279673556,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-01 05:00:00,,221.93912650611242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,2.154631833231496,27.090874515970118,58.37086062218911,17.481084623550544,13.629240100645678,66.58173795183372,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-01 06:00:00,,617.555850995106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,6.025146218213773,29.01998132109976,174.84963070945855,18.855091353489886,6.129448366014046,185.2667552985318,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-01 07:00:00,,745.0826215729447,0.0,0.0,0.5459183092073445,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,7.119415767150159,27.79682205265229,197.89713319831995,17.69112276910727,11.859560671221459,223.5247864718834,-0.5459183092073445,Normal_Operation,No action required. System healthy.
Desert,2025-01-01 08:00:00,,813.266975006862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.507513629498892,0.4421449385005246,0.26639336707513367,0.24836857490453218,Sand_Drift,2.6730252334582834,9.901062806374084,26.46579071949321,2.167727143380461,89.19675862263347,243.9800925020586,0.0,Soiling_Severe,🚨 URGENT: High-pressure water cleaning required immediately.
Coastal,2025-01-01 09:00:00,,467.2987748524857,0.0,0.0,0.0,0.0,76.33846656297938,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,4.573479323001263,29.187285118864125,133.48744498566754,19.016709802662398,5.455207536213635,140.1896324557457,0.0,Normal_Operation,No action required. System healthy.
